learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
10.0,0.0,0.0,10.0,70.0,34.782608695652165,10.0,0.0,0.0,0.0
20.0,0.015625,0.0,20.0,60.0,9.090909090909074,20.0,0.0,0.0,0.0
30.0,0.015625,0.0,30.0,63.33333333333333,16.243654822335028,30.0,0.0,0.0,0.0
40.0,0.03125,0.0,40.0,67.5,17.721518987341785,40.0,0.0,0.0,0.0
50.0,0.03125,0.0,50.0,62.0,11.214953271028023,50.0,0.0,0.0,0.0
60.0,0.046875,0.0,60.0,65.0,17.539267015706823,60.0,0.0,0.0,0.0
70.0,0.046875,0.0,70.0,67.14285714285714,18.107833163784328,70.0,0.0,0.0,0.0
80.0,0.0625,0.0,80.0,68.75,20.0,80.0,0.0,0.0,0.0
90.0,0.0625,0.0,90.0,67.77777777777779,22.64374629519857,90.0,0.0,0.0,0.0
100.0,0.078125,0.0,100.0,67.0,20.212765957446813,100.0,0.0,0.0,0.0
110.0,0.078125,0.0,110.0,66.36363636363637,20.16477049823461,110.0,0.0,0.0,0.0
120.0,0.09375,0.0,120.0,65.83333333333333,19.132149901380664,120.0,0.0,0.0,0.0
130.0,0.09375,0.0,130.0,66.92307692307692,20.709219858156022,130.0,0.0,0.0,0.0
140.0,0.109375,0.0,140.0,67.85714285714286,20.854271356783922,140.0,0.0,0.0,0.0
150.0,0.125,0.0,150.0,68.0,22.346850733390877,150.0,0.0,0.0,0.0
160.0,0.140625,0.0,160.0,66.875,18.929254302103235,160.0,0.0,0.0,0.0
170.0,0.140625,0.0,170.0,66.47058823529412,16.93811074918565,170.0,0.0,0.0,0.0
180.0,0.15625,0.0,180.0,66.66666666666666,19.84562861807926,180.0,0.0,0.0,0.0
190.0,0.171875,0.0,190.0,67.89473684210526,23.112644288178323,190.0,0.0,0.0,0.0
200.0,0.1875,0.0,200.0,68.0,23.22456813819578,200.0,0.0,0.0,0.0
210.0,0.203125,0.0,210.0,67.61904761904762,23.201032591158437,210.0,0.0,0.0,0.0
220.0,0.21875,0.0,220.0,66.81818181818183,21.856753600622817,220.0,0.0,0.0,0.0
230.0,0.234375,0.0,230.0,67.82608695652173,23.915958873491274,230.0,0.0,0.0,0.0
240.0,0.234375,0.0,240.0,67.08333333333333,22.48569092395747,240.0,0.0,0.0,0.0
250.0,0.25,0.0,250.0,68.0,24.357034795764,250.0,0.0,0.0,0.0
260.0,0.265625,0.0,260.0,67.6923076923077,22.84321345297818,260.0,0.0,0.0,0.0
270.0,0.28125,0.0,270.0,68.51851851851852,24.581005586592187,270.0,0.0,0.0,0.0
280.0,0.296875,0.0,280.0,68.57142857142857,25.31070021218551,280.0,0.0,0.0,0.0
290.0,0.3125,0.0,290.0,68.62068965517241,26.082572404907296,290.0,0.0,0.0,0.0
300.0,0.34375,0.0,300.0,69.33333333333334,27.072874279976762,300.0,0.0,0.0,0.0
310.0,0.359375,0.0,310.0,69.35483870967742,27.013630731102868,310.0,0.0,0.0,0.0
320.0,0.375,0.0,320.0,69.375,26.40916130849016,320.0,0.0,0.0,0.0
330.0,0.390625,0.0,330.0,69.39393939393939,26.277372262773753,330.0,0.0,0.0,0.0
340.0,0.40625,0.0,340.0,69.70588235294117,27.883031301482692,340.0,0.0,0.0,0.0
350.0,0.421875,0.0,350.0,69.71428571428572,27.402943018159053,350.0,0.0,0.0,0.0
360.0,0.453125,0.0,360.0,69.44444444444444,26.75076763715733,360.0,0.0,0.0,0.0
370.0,0.46875,0.0,370.0,69.45945945945947,26.543448469728386,370.0,0.0,0.0,0.0
380.0,0.484375,0.0,380.0,69.21052631578948,26.11181280329723,380.0,0.0,0.0,0.0
390.0,0.515625,0.0,390.0,68.71794871794872,25.714285714285722,390.0,0.0,0.0,0.0
400.0,0.546875,0.0,400.0,68.25,25.25454652463069,400.0,0.0,0.0,0.0
410.0,0.5625,0.0,410.0,69.02439024390243,26.344527116869877,410.0,0.0,0.0,0.0
420.0,0.59375,0.0,420.0,68.57142857142857,25.715510772858824,420.0,0.0,0.0,0.0
430.0,0.625,0.0,430.0,68.13953488372093,25.041353861814482,430.0,0.0,0.0,0.0
440.0,0.640625,0.0,440.0,67.95454545454545,24.65021375825885,440.0,0.0,0.0,0.0
450.0,0.65625,0.0,450.0,67.77777777777779,24.277590808866197,450.0,0.0,0.0,0.0
