learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),IBLStreams size,sigmaForKernel,kValue
10.0,0.0,0.0,10.0,30.0,0.0,10.0,0.0,0.0,0.5,16.0
20.0,0.015625,0.0,20.0,40.0,0.0,20.0,0.0,0.0,0.5,16.0
30.0,0.015625,0.0,30.0,36.666666666666664,0.0,30.0,0.0,0.0,0.5,16.0
40.0,0.015625,0.0,40.0,32.5,0.0,40.0,0.0,0.0,0.5,16.0
50.0,0.03125,0.0,50.0,38.0,0.0,50.0,0.0,0.0,0.5,16.0
60.0,0.03125,0.0,60.0,36.666666666666664,0.0,60.0,0.0,0.0,0.5,16.0
70.0,0.046875,0.0,70.0,34.285714285714285,0.0,70.0,0.0,0.0,0.5,16.0
80.0,0.046875,0.0,80.0,32.5,0.0,80.0,0.0,0.0,0.5,16.0
90.0,0.0625,0.0,90.0,35.55555555555556,0.0,90.0,0.0,0.0,0.5,16.0
100.0,0.0625,0.0,100.0,34.0,0.0,100.0,0.0,0.0,0.5,16.0
110.0,0.0625,0.0,110.0,34.54545454545455,0.0,110.0,0.0,0.0,0.5,16.0
120.0,0.078125,0.0,120.0,35.0,0.0,120.0,0.0,0.0,0.5,16.0
130.0,0.078125,0.0,130.0,34.61538461538461,0.0,130.0,0.0,0.0,0.5,16.0
140.0,0.078125,0.0,140.0,33.57142857142857,0.0,140.0,0.0,0.0,0.5,16.0
150.0,0.09375,0.0,150.0,34.66666666666667,0.0,150.0,0.0,0.0,0.5,16.0
160.0,0.09375,0.0,160.0,33.75,0.0,160.0,0.0,0.0,0.5,16.0
170.0,0.09375,0.0,170.0,32.94117647058823,0.0,170.0,0.0,0.0,0.5,16.0
180.0,0.09375,0.0,180.0,33.88888888888889,0.0,180.0,0.0,0.0,0.5,16.0
190.0,0.09375,0.0,190.0,33.68421052631579,0.0,190.0,0.0,0.0,0.5,16.0
200.0,0.109375,0.0,200.0,34.0,0.0,200.0,0.0,0.0,0.5,16.0
210.0,0.109375,0.0,210.0,34.76190476190476,0.0,210.0,0.0,0.0,0.5,16.0
220.0,0.109375,0.0,220.0,35.45454545454545,0.0,220.0,0.0,0.0,0.5,16.0
230.0,0.109375,0.0,230.0,35.21739130434783,0.0,230.0,0.0,0.0,0.5,16.0
240.0,0.125,0.0,240.0,35.41666666666667,0.0,240.0,0.0,0.0,0.5,16.0
250.0,0.125,0.0,250.0,35.199999999999996,0.0,250.0,0.0,0.0,0.5,16.0
260.0,0.125,0.0,260.0,34.23076923076923,0.0,260.0,0.0,0.0,0.5,16.0
270.0,0.125,0.0,270.0,34.074074074074076,0.0,270.0,0.0,0.0,0.5,16.0
280.0,0.125,0.0,280.0,33.92857142857143,0.0,280.0,0.0,0.0,0.5,16.0
290.0,0.125,0.0,290.0,34.13793103448276,0.0,290.0,0.0,0.0,0.5,16.0
300.0,0.125,0.0,300.0,33.666666666666664,0.0,300.0,0.0,0.0,0.5,16.0
310.0,0.140625,0.0,310.0,33.87096774193548,0.0,310.0,0.0,0.0,0.5,16.0
320.0,0.140625,0.0,320.0,33.4375,0.0,320.0,0.0,0.0,0.5,16.0
330.0,0.140625,0.0,330.0,33.33333333333333,0.0,330.0,0.0,0.0,0.5,16.0
340.0,0.15625,0.0,340.0,33.82352941176471,0.0,340.0,0.0,0.0,0.5,16.0
350.0,0.15625,0.0,350.0,33.714285714285715,0.0,350.0,0.0,0.0,0.5,16.0
360.0,0.15625,0.0,360.0,33.611111111111114,0.0,360.0,0.0,0.0,0.5,16.0
370.0,0.171875,0.0,370.0,33.24324324324324,0.0,370.0,0.0,0.0,0.5,16.0
380.0,0.171875,0.0,380.0,33.68421052631579,0.0,380.0,0.0,0.0,0.5,16.0
390.0,0.171875,0.0,390.0,34.61538461538461,0.0,390.0,0.0,0.0,0.5,16.0
400.0,0.1875,0.0,400.0,35.25,0.0,400.0,0.0,0.0,0.5,16.0
410.0,0.1875,0.0,410.0,34.63414634146341,0.0,410.0,0.0,0.0,0.5,16.0
420.0,0.1875,0.0,420.0,34.76190476190476,0.0,420.0,0.0,0.0,0.5,16.0
430.0,0.203125,0.0,430.0,35.348837209302324,0.0,430.0,0.0,0.0,0.5,16.0
440.0,0.203125,0.0,440.0,35.45454545454545,0.0,440.0,0.0,0.0,0.5,16.0
450.0,0.203125,0.0,450.0,35.55555555555556,0.0,450.0,0.0,0.0,0.5,16.0
460.0,0.21875,0.0,460.0,35.65217391304348,0.0,460.0,0.0,0.0,0.5,16.0
470.0,0.21875,0.0,470.0,35.95744680851064,0.0,470.0,0.0,0.0,0.5,16.0
480.0,0.21875,0.0,480.0,36.45833333333333,0.0,480.0,0.0,0.0,0.5,16.0
490.0,0.234375,0.0,490.0,36.3265306122449,0.0,490.0,0.0,0.0,0.5,16.0
500.0,0.234375,0.0,500.0,36.6,0.0,500.0,0.0,0.0,0.5,16.0
510.0,0.234375,0.0,510.0,36.470588235294116,0.0,510.0,0.0,0.0,0.5,16.0
520.0,0.25,0.0,520.0,36.15384615384615,0.0,520.0,0.0,0.0,0.5,16.0
530.0,0.25,0.0,530.0,36.41509433962264,0.0,530.0,0.0,0.0,0.5,16.0
540.0,0.265625,0.0,540.0,36.2962962962963,0.0,540.0,0.0,0.0,0.5,16.0
550.0,0.265625,0.0,550.0,36.54545454545455,0.0,550.0,0.0,0.0,0.5,16.0
560.0,0.265625,0.0,560.0,36.964285714285715,0.0,560.0,0.0,0.0,0.5,16.0
570.0,0.28125,0.0,570.0,37.19298245614035,0.0,570.0,0.0,0.0,0.5,16.0
580.0,0.28125,0.0,580.0,37.58620689655172,0.0,580.0,0.0,0.0,0.5,16.0
590.0,0.296875,0.0,590.0,37.6271186440678,0.0,590.0,0.0,0.0,0.5,16.0
600.0,0.296875,0.0,600.0,37.666666666666664,0.0,600.0,0.0,0.0,0.5,16.0
610.0,0.3125,0.0,610.0,37.868852459016395,0.0,610.0,0.0,0.0,0.5,16.0
620.0,0.3125,0.0,620.0,37.74193548387097,0.0,620.0,0.0,0.0,0.5,16.0
630.0,0.328125,0.0,630.0,37.301587301587304,0.0,630.0,0.0,0.0,0.5,16.0
640.0,0.328125,0.0,640.0,37.5,0.0,640.0,0.0,0.0,0.5,16.0
650.0,0.34375,0.0,650.0,37.230769230769226,0.0,650.0,0.0,0.0,0.5,16.0
660.0,0.34375,0.0,660.0,37.42424242424243,0.0,660.0,0.0,0.0,0.5,16.0
670.0,0.359375,0.0,670.0,37.16417910447761,0.0,670.0,0.0,0.0,0.5,16.0
680.0,0.359375,0.0,680.0,37.05882352941177,0.0,680.0,0.0,0.0,0.5,16.0
690.0,0.375,0.0,690.0,37.10144927536232,0.0,690.0,0.0,0.0,0.5,16.0
700.0,0.375,0.0,700.0,37.142857142857146,0.0,700.0,0.0,0.0,0.5,16.0
710.0,0.390625,0.0,710.0,37.04225352112676,0.0,710.0,0.0,0.0,0.5,16.0
720.0,0.390625,0.0,720.0,36.80555555555556,0.0,720.0,0.0,0.0,0.5,16.0
730.0,0.40625,0.0,730.0,36.84931506849315,0.0,730.0,0.0,0.0,0.5,16.0
740.0,0.40625,0.0,740.0,36.486486486486484,0.0,740.0,0.0,0.0,0.5,16.0
750.0,0.421875,0.0,750.0,36.8,0.0,750.0,0.0,0.0,0.5,16.0
760.0,0.421875,0.0,760.0,36.84210526315789,0.0,760.0,0.0,0.0,0.5,16.0
770.0,0.4375,0.0,770.0,36.883116883116884,0.0,770.0,0.0,0.0,0.5,16.0
780.0,0.453125,0.0,780.0,37.05128205128205,0.0,780.0,0.0,0.0,0.5,16.0
790.0,0.453125,0.0,790.0,37.21518987341772,0.0,790.0,0.0,0.0,0.5,16.0
800.0,0.46875,0.0,800.0,37.375,0.0,800.0,0.0,0.0,0.5,16.0
810.0,0.46875,0.0,810.0,37.28395061728395,0.0,810.0,0.0,0.0,0.5,16.0
820.0,0.484375,0.0,820.0,36.951219512195124,0.0,820.0,0.0,0.0,0.5,16.0
830.0,0.5,0.0,830.0,36.86746987951807,0.0,830.0,0.0,0.0,0.5,16.0
840.0,0.5,0.0,840.0,36.904761904761905,0.0,840.0,0.0,0.0,0.5,16.0
850.0,0.515625,0.0,850.0,36.94117647058823,0.0,850.0,0.0,0.0,0.5,16.0
860.0,0.515625,0.0,860.0,36.860465116279066,0.0,860.0,0.0,0.0,0.5,16.0
870.0,0.53125,0.0,870.0,36.55172413793103,0.0,870.0,0.0,0.0,0.5,16.0
880.0,0.546875,0.0,880.0,36.25,0.0,880.0,0.0,0.0,0.5,16.0
890.0,0.546875,0.0,890.0,36.741573033707866,0.0,890.0,0.0,0.0,0.5,16.0
900.0,0.5625,0.0,900.0,36.77777777777778,0.0,900.0,0.0,0.0,0.5,16.0
910.0,0.5625,0.0,910.0,36.92307692307693,0.0,910.0,0.0,0.0,0.5,16.0
920.0,0.578125,0.0,920.0,37.173913043478265,0.0,920.0,0.0,0.0,0.5,16.0
930.0,0.59375,0.0,930.0,37.096774193548384,0.0,930.0,0.0,0.0,0.5,16.0
940.0,0.59375,0.0,940.0,37.12765957446808,0.0,940.0,0.0,0.0,0.5,16.0
950.0,0.609375,0.0,950.0,37.15789473684211,0.0,950.0,0.0,0.0,0.5,16.0
960.0,0.609375,0.0,960.0,37.395833333333336,0.0,960.0,0.0,0.0,0.5,16.0
970.0,0.625,0.0,970.0,37.31958762886598,0.0,970.0,0.0,0.0,0.5,16.0
980.0,0.640625,0.0,980.0,37.244897959183675,0.0,980.0,0.0,0.0,0.5,16.0
990.0,0.640625,0.0,990.0,37.27272727272727,0.0,990.0,0.0,0.0,0.5,16.0
1000.0,0.6875,0.0,1000.0,37.5,0.0,1000.0,0.0,1000.0,0.5,16.0
1010.0,0.796875,0.0,1010.0,38.1,0.7586591677194715,1010.0,0.0,1009.0,0.5,16.0
1020.0,0.875,0.0,1020.0,38.3,0.5287934481202047,1020.0,0.0,1017.0,0.5,16.0
1030.0,0.96875,0.0,1030.0,38.7,1.049233252623084,1030.0,0.0,1027.0,0.5,16.0
1040.0,1.046875,0.0,1040.0,39.300000000000004,1.2886145279741956,1040.0,0.0,1035.0,0.5,16.0
1050.0,1.125,0.0,1050.0,39.5,1.7563687854813854,1050.0,0.0,1042.0,0.5,16.0
1060.0,1.203125,0.0,1060.0,40.1,2.092827114566109,1060.0,0.0,1049.0,0.5,16.0
1070.0,1.296875,0.0,1070.0,40.6,2.3492084367653625,1070.0,0.0,1057.0,0.5,16.0
1080.0,1.359375,0.0,1080.0,41.199999999999996,2.4228343843345503,1080.0,0.0,1064.0,0.5,16.0
1090.0,1.4375,0.0,1090.0,41.5,3.1290155920886993,1090.0,0.0,1073.0,0.5,16.0
1100.0,1.515625,0.0,1100.0,42.0,3.02819538815473,1100.0,0.0,1079.0,0.5,16.0
1110.0,1.59375,0.0,1110.0,42.4,3.510153211135192,1110.0,0.0,1087.0,0.5,16.0
1120.0,1.671875,0.0,1120.0,42.8,3.688462483962105,1120.0,0.0,1096.0,0.5,16.0
1130.0,1.734375,0.0,1130.0,43.4,4.680105761296078,1130.0,0.0,1105.0,0.5,16.0
1140.0,1.8125,0.0,1140.0,44.0,5.141660766252111,1140.0,0.0,1114.0,0.5,16.0
1150.0,1.90625,0.0,1150.0,44.3,5.657181571815715,1150.0,0.0,1123.0,0.5,16.0
1160.0,1.984375,0.0,1160.0,45.0,6.592529440336397,1160.0,0.0,1132.0,0.5,16.0
1170.0,2.0625,0.0,1170.0,45.7,7.375818777292577,1170.0,0.0,1137.0,0.5,16.0
1180.0,2.15625,0.0,1180.0,45.9,7.588977636874214,1180.0,0.0,1147.0,0.5,16.0
1190.0,2.25,0.0,1190.0,46.1,7.4811529324526616,1190.0,0.0,1157.0,0.5,16.0
1200.0,2.328125,0.0,1200.0,46.7,8.381463146314626,1200.0,0.0,1162.0,0.5,16.0
1210.0,2.421875,0.0,1210.0,47.099999999999994,8.935666232863028,1210.0,0.0,1169.0,0.5,16.0
1220.0,2.515625,0.0,1220.0,47.5,9.633577064485483,1220.0,0.0,1178.0,0.5,16.0
1230.0,2.609375,0.0,1230.0,47.9,10.034673776402482,1230.0,0.0,1184.0,0.5,16.0
1240.0,2.6875,0.0,1240.0,48.0,10.16267466449214,1240.0,0.0,1193.0,0.5,17.0
1250.0,2.78125,0.0,1250.0,48.4,10.227146197528116,1250.0,0.0,1199.0,0.5,17.0
1260.0,2.875,0.0,1260.0,49.3,11.539937886031332,1260.0,0.0,1207.0,0.5,17.0
1270.0,2.953125,0.0,1270.0,49.8,12.225486081969503,1270.0,0.0,1215.0,0.5,17.0
1280.0,3.046875,0.0,1280.0,50.3,12.724335335229862,1280.0,0.0,1224.0,0.5,17.0
1290.0,3.140625,0.0,1290.0,50.7,13.200557770046629,1290.0,0.0,1230.0,0.5,17.0
1300.0,3.234375,0.0,1300.0,51.300000000000004,13.749743197387348,1300.0,0.0,1240.0,0.5,17.0
1310.0,3.3125,0.0,1310.0,51.7,14.233356299142692,1310.0,0.0,1246.0,0.5,17.0
1320.0,3.40625,0.0,1320.0,52.1,14.571681314918388,1320.0,0.0,1255.0,0.5,17.0
1330.0,3.515625,0.0,1330.0,52.1,13.925706563928584,1330.0,0.0,1262.0,0.5,17.0
1340.0,3.609375,0.0,1340.0,52.5,14.538833554033046,1340.0,0.0,1270.0,0.5,18.0
1350.0,3.703125,0.0,1350.0,53.0,15.205617357229709,1350.0,0.0,1280.0,0.5,18.0
1360.0,3.796875,0.0,1360.0,53.2,15.110356536502554,1360.0,0.0,1290.0,0.5,18.0
1370.0,3.890625,0.0,1370.0,53.800000000000004,15.778267146961467,1370.0,0.0,1299.0,0.5,18.0
